StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,prolific_ID,device,meta_device_Browser,meta_device_Version,meta_device_Operating System,meta_device_Resolution,consent,abortion_att_binary,abortion_att_pre_1,abortion_att_pre_2,abortion_att_pre_3,abortion_certain,abortion_imp,vaccine_att_binary,vaccine_att_pre_1,vaccine_att_pre_2,vaccine_att_pre_3,vaccine_certain,vaccine_imp,uh_att_binary,uh_att_pre_1,uh_att_pre_2,uh_att_pre_3,uh_certain,uh_imp,firearm_att_binary,firearm_att_pre_1,firearm_att_pre_2,firearm_att_pre_3,firearm_certain,firearm_imp,abortion_init_resp,abortion_pro_First Click,abortion_pro_Last Click,abortion_pro_Page Submit,abortion_pro_Click Count,abortion_anti_First Click,abortion_anti_Last Click,abortion_anti_Page Submit,abortion_anti_Click Count,abortion_control_First Click,abortion_control_Last Click,abortion_control_Page Submit,abortion_control_Click Count,abortion_att_post_1,abortion_att_post_2,abortion_att_post_3,perc_ai_strength,perc_ai_bias,vaccine_init_resp,vaccine_pro_First Click,vaccine_pro_Last Click,vaccine_pro_Page Submit,vaccine_pro_Click Count,vaccine_con_First Click,vaccine_con_Last Click,vaccine_con_Page Submit,vaccine_con_Click Count,vaccine_control_First Click,vaccine_control_Last Click,vaccine_control_Page Submit,vaccine_control_Click Count,vaccine_att_post_1,vaccine_att_post_2,vaccine_att_post_3,uh_init_resp,uh_pro_First Click,uh_pro_Last Click,uh_pro_Page Submit,uh_pro_Click Count,uh_con_First Click,uh_con_Last Click,uh_con_Page Submit,uh_con_Click Count,uh_control_First Click,uh_control_Last Click,uh_control_Page Submit,uh_control_Click Count,uh_att_post_1,uh_att_post_2,uh_att_post_3,firearm_init_resp,firearm_pro_First Click,firearm_pro_Last Click,firearm_pro_Page Submit,firearm_pro_Click Count,firearm_con_First Click,firearm_con_Last Click,firearm_con_Page Submit,firearm_con_Click Count,firearm_control_First Click,firearm_control_Last Click,firearm_control_Page Submit,firearm_control_Click Count,firearm_att_post_1,firearm_att_post_2,firearm_att_post_3,perc_useful,perc_satisfaction,ai_disable,abortion_final_resp,vaccine_final_resp,uh_final_resp,firearm_final_resp,age,gender,gender_4_TEXT,education,race,partisanship,PROLIFIC_PID,abortion_pro_1_clicked,vaccine_pro_1_clicked,unihealthcare_pro_1_clicked,gun_pro_1_clicked,abortion_pro_2_clicked,abortion_pro_3_clicked,abortion_pro_4_clicked,abortion_pro_5_clicked,abortion_con_2_clicked,abortion_con_1_clicked,abortion_con_3_clicked,abortion_con_4_clicked,abortion_con_5_clicked,vaccine_pro_2_clicked,vaccine_pro_3_clicked,vaccine_pro_4_clicked,vaccine_pro_5_clicked,vaccine_con_2_clicked,vaccine_con_3_clicked,vaccine_con_4_clicked,vaccine_con_5_clicked,unihealthcare_pro_5_clicked,unihealthcare_pro_2_clicked,unihealthcare_pro_3_clicked,unihealthcare_pro_4_clicked,unihealthcare_con_2_clicked,unihealthcare_con_3_clicked,unihealthcare_con_4_clicked,unihealthcare_con_5_clicked,gun_pro_2_clicked,gun_pro_3_clicked,gun_pro_4_clicked,gun_pro_5_clicked,gun_con_2_clicked,gun_con_3_clicked,gun_con_4_clicked,gun_con_5_clicked,vaccine_con_1_clicked,unihealthcare_con_1_clicked,gun_con_1_clicked,study_condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What is your Prolific ID? (Please note that this response should auto-fill with the correct ID),Which type of device you are using for this study?,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,"Welcome to the Research Study!  

 

We are researchers at the University of Washington. In this study, we are interested in understanding more about people's opinions and reactions to information about health-related topics. In this survey, you will be asked questions about what you see that will help with our investigation. Please be assured that your responses will be kept completely confidential.   




The study should take you around 10 minutes to complete, and you will receive monetary compensation for your participation. Your participation in this research is voluntary. This means you can choose not to continue and you can click the do not consent button below. You also have the right to withdraw at any point during the study, for any reason, and without any prejudice by simply exiting the survey. If you would like to discuss this research and your participation, please contact the research team through the Prolific messaging system (which ensures the anonymity of your personal identity).  

 

By clicking the button below, you acknowledge that your participation in the study is voluntary, that you are 18 years of age, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason. You agree to proceed and participate in the study.","In general, do you support or oppose legal abortion?",Please indicate how much you support or oppose legal abortion in each of the following situations. - The family has a very low income and cannot afford more children.,Please indicate how much you support or oppose legal abortion in each of the following situations. - The woman is not married and does not want to marry the father.,Please indicate how much you support or oppose legal abortion in each of the following situations. - The woman wants it for any reason.,How certain are you about your position on the topic of legal abortion?,To what extent is the topic of legal abortion important to you personally?,"In general, do you support or oppose vaccine mandates?","Please indicate how much you support vaccine mandates each of the following situations. - Children should be vaccinated to attend school, unless medically exempt.",Please indicate how much you support vaccine mandates each of the following situations. - Vaccination should be mandatory for healthcare workers.,"Please indicate how much you support vaccine mandates each of the following situations. - Vaccination should be mandatory for all adults, except with medical reason.",How certain are you about your position on the topic of vaccine mandates?,To what extent is the topic of vaccine mandates important to you personally?,"In general, do you support or oppose universal healthcare?",Please indicate how much you support or oppose universal healthcare in the following statements. - The government should prioritise spending on healthcare rather than reducing taxes.,Please indicate how much you support or oppose universal healthcare in the following statements. - Having the health service as a public system is important.,"Please indicate how much you support or oppose universal healthcare in the following statements. - Access to medical care and insurance is a basic, inherent right of man.",How certain are you about your position on the topic of universal healthcare?,To what extent is the topic of universal healthcare important to you personally?,"In general, do you support or oppose regulation of firearms?","Please indicate how much you support or oppose the regulation of firearms in the following statements. - The sale of all handguns should be banned, except those that are issued to law enforcement officers.",Please indicate how much you support or oppose the regulation of firearms in the following statements. - A person should be required to obtain a police permit before they can buy a gun.,Please indicate how much you support or oppose the regulation of firearms in the following statements. - There should be a 30-day waiting period for the sale of all firearms.,How certain are you about your position on the topic of regulating firearms?,To what extent is the topic of regulating firearms important to you personally?,"Write a short, one-sentence response to the post. Please keep your response brief, we are interested in your spontaneous reaction.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you support or oppose legal abortion in each of the following situations. - The family has a very low income and cannot afford more children.,Please indicate how much you support or oppose legal abortion in each of the following situations. - The woman is not married and does not want to marry the father.,Please indicate how much you support or oppose legal abortion in each of the following situations. - The woman wants it for any reason.,"Broadly, how would you rate the strength of the arguments in the AI summary?","Broadly, how biased do you think the AI summary was?","Write a short, one-sentence response to the post. Please keep your response brief, we are interested in your spontaneous reaction.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate how much you support vaccine mandates each of the following situations. - Children should be vaccinated to attend school, unless medically exempt.",Please indicate how much you support vaccine mandates each of the following situations. - Vaccination should be mandatory for healthcare workers.,"Please indicate how much you support vaccine mandates each of the following situations. - Vaccination should be mandatory for all adults, except with medical reason.","Write a short, one-sentence response to the post. Please keep your response brief, we are interested in your spontaneous reaction.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you support or oppose universal healthcare in the following statements. - The government should prioritise spending on healthcare rather than reducing taxes.,Please indicate how much you support or oppose universal healthcare in the following statements. - Having the health service as a public system is important.,"Please indicate how much you support or oppose universal healthcare in the following statements. - Access to medical care and insurance is a basic, inherent right of man.","Write a short, one-sentence response to the post. Please keep your response brief, we are interested in your spontaneous reaction.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate how much you support or oppose the regulation of firearms in the following statements. - The sale of all handguns should be banned, except those that are issued to law enforcement officers.",Please indicate how much you support or oppose the regulation of firearms in the following statements. - A person should be required to obtain a police permit before they can buy a gun.,Please indicate how much you support or oppose the regulation of firearms in the following statements. - There should be a 30-day waiting period for the sale of all firearms.,"Broadly, how useful did you find the contents of the AI summary?","Broadly, how satisfied were you with the contents of the AI summary?","If you have the option to disable the AI summarizing function for search results, would you disable the function?","Please elaborate on your initial response to this social media post that you saw at the beginning of the study (at least 50 words). You may use any reasons, facts, or examples you think are relevant, including information you found in the search results. 

Please refrain from using external tools (like ChatGPT, etc.) to write this response. There are no right or wrong answers — we are simply interested in your impressions and opinions.","Please elaborate on your initial response to this social media post that you saw at the beginning of the study (at least 50 words). You may use any reasons, facts, or examples you think are relevant, including information you found in the search results.

Please refrain from using external tools (like ChatGPT, etc.) to write this response. There are no right or wrong answers — we are simply interested in your impressions and opinions.","Please elaborate on your initial response to this social media post that you saw at the beginning of the study (at least 50 words). You may use any reasons, facts, or examples you think are relevant, including information you found in the search results.

Please refrain from using external tools (like ChatGPT, etc.) to write this response. There are no right or wrong answers — we are simply interested in your impressions and opinions.","Please elaborate on your initial response to this social media post that you saw at the beginning of the study (at least 50 words). You may use any reasons, facts, or examples you think are relevant, including information you found in the search results.

Please refrain from using external tools (like ChatGPT, etc.) to write this response. There are no right or wrong answers — we are simply interested in your impressions and opinions.",What is your Age?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is the highest level of education you have completed?,Choose one or more races that you consider yourself to be,"Generally speaking, which of the following best describes your political party identification?",PROLIFIC_PID,abortion_pro_1_clicked,vaccine_pro_1_clicked,unihealthcare_pro_1_clicked,gun_pro_1_clicked,abortion_pro_2_clicked,abortion_pro_3_clicked,abortion_pro_4_clicked,abortion_pro_5_clicked,abortion_con_2_clicked,abortion_con_1_clicked,abortion_con_3_clicked,abortion_con_4_clicked,abortion_con_5_clicked,vaccine_pro_2_clicked,vaccine_pro_3_clicked,vaccine_pro_4_clicked,vaccine_pro_5_clicked,vaccine_con_2_clicked,vaccine_con_3_clicked,vaccine_con_4_clicked,vaccine_con_5_clicked,unihealthcare_pro_5_clicked,unihealthcare_pro_2_clicked,unihealthcare_pro_3_clicked,unihealthcare_pro_4_clicked,unihealthcare_con_2_clicked,unihealthcare_con_3_clicked,unihealthcare_con_4_clicked,unihealthcare_con_5_clicked,gun_pro_2_clicked,gun_pro_3_clicked,gun_pro_4_clicked,gun_pro_5_clicked,gun_con_2_clicked,gun_con_3_clicked,gun_con_4_clicked,gun_con_5_clicked,vaccine_con_1_clicked,unihealthcare_con_1_clicked,gun_con_1_clicked,study_condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID283_TEXT""}","{""ImportId"":""QID1292""}","{""ImportId"":""QID1546_BROWSER""}","{""ImportId"":""QID1546_VERSION""}","{""ImportId"":""QID1546_OS""}","{""ImportId"":""QID1546_RESOLUTION""}","{""ImportId"":""QID254""}","{""ImportId"":""QID2098""}","{""ImportId"":""QID1993_2""}","{""ImportId"":""QID1993_3""}","{""ImportId"":""QID1993_5""}","{""ImportId"":""QID1999""}","{""ImportId"":""QID2000""}","{""ImportId"":""QID2121""}","{""ImportId"":""QID2122_1""}","{""ImportId"":""QID2122_2""}","{""ImportId"":""QID2122_3""}","{""ImportId"":""QID2003""}","{""ImportId"":""QID2004""}","{""ImportId"":""QID2129""}","{""ImportId"":""QID2130_12""}","{""ImportId"":""QID2130_15""}","{""ImportId"":""QID2130_18""}","{""ImportId"":""QID2007""}","{""ImportId"":""QID2008""}","{""ImportId"":""QID2135""}","{""ImportId"":""QID2136_1""}","{""ImportId"":""QID2136_19""}","{""ImportId"":""QID2136_22""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2427_TEXT""}","{""ImportId"":""QID1219089603_FIRST_CLICK""}","{""ImportId"":""QID1219089603_LAST_CLICK""}","{""ImportId"":""QID1219089603_PAGE_SUBMIT""}","{""ImportId"":""QID1219089603_CLICK_COUNT""}","{""ImportId"":""QID1219089543_FIRST_CLICK""}","{""ImportId"":""QID1219089543_LAST_CLICK""}","{""ImportId"":""QID1219089543_PAGE_SUBMIT""}","{""ImportId"":""QID1219089543_CLICK_COUNT""}","{""ImportId"":""QID1219089567_FIRST_CLICK""}","{""ImportId"":""QID1219089567_LAST_CLICK""}","{""ImportId"":""QID1219089567_PAGE_SUBMIT""}","{""ImportId"":""QID1219089567_CLICK_COUNT""}","{""ImportId"":""QID2103_2""}","{""ImportId"":""QID2103_3""}","{""ImportId"":""QID2103_5""}","{""ImportId"":""QID1987""}","{""ImportId"":""QID1988""}","{""ImportId"":""QID2428_TEXT""}","{""ImportId"":""QID1219088912_FIRST_CLICK""}","{""ImportId"":""QID1219088912_LAST_CLICK""}","{""ImportId"":""QID1219088912_PAGE_SUBMIT""}","{""ImportId"":""QID1219088912_CLICK_COUNT""}","{""ImportId"":""QID1219088865_FIRST_CLICK""}","{""ImportId"":""QID1219088865_LAST_CLICK""}","{""ImportId"":""QID1219088865_PAGE_SUBMIT""}","{""ImportId"":""QID1219088865_CLICK_COUNT""}","{""ImportId"":""QID1219088889_FIRST_CLICK""}","{""ImportId"":""QID1219088889_LAST_CLICK""}","{""ImportId"":""QID1219088889_PAGE_SUBMIT""}","{""ImportId"":""QID1219088889_CLICK_COUNT""}","{""ImportId"":""QID2108_1""}","{""ImportId"":""QID2108_2""}","{""ImportId"":""QID2108_3""}","{""ImportId"":""QID2429_TEXT""}","{""ImportId"":""QID1219088937_FIRST_CLICK""}","{""ImportId"":""QID1219088937_LAST_CLICK""}","{""ImportId"":""QID1219088937_PAGE_SUBMIT""}","{""ImportId"":""QID1219088937_CLICK_COUNT""}","{""ImportId"":""QID1219088815_FIRST_CLICK""}","{""ImportId"":""QID1219088815_LAST_CLICK""}","{""ImportId"":""QID1219088815_PAGE_SUBMIT""}","{""ImportId"":""QID1219088815_CLICK_COUNT""}","{""ImportId"":""QID1219088839_FIRST_CLICK""}","{""ImportId"":""QID1219088839_LAST_CLICK""}","{""ImportId"":""QID1219088839_PAGE_SUBMIT""}","{""ImportId"":""QID1219088839_CLICK_COUNT""}","{""ImportId"":""QID2113_12""}","{""ImportId"":""QID2113_15""}","{""ImportId"":""QID2113_18""}","{""ImportId"":""QID2430_TEXT""}","{""ImportId"":""QID1219088799_FIRST_CLICK""}","{""ImportId"":""QID1219088799_LAST_CLICK""}","{""ImportId"":""QID1219088799_PAGE_SUBMIT""}","{""ImportId"":""QID1219088799_CLICK_COUNT""}","{""ImportId"":""QID1219088776_FIRST_CLICK""}","{""ImportId"":""QID1219088776_LAST_CLICK""}","{""ImportId"":""QID1219088776_PAGE_SUBMIT""}","{""ImportId"":""QID1219088776_CLICK_COUNT""}","{""ImportId"":""QID1219088801_FIRST_CLICK""}","{""ImportId"":""QID1219088801_LAST_CLICK""}","{""ImportId"":""QID1219088801_PAGE_SUBMIT""}","{""ImportId"":""QID1219088801_CLICK_COUNT""}","{""ImportId"":""QID2118_1""}","{""ImportId"":""QID2118_19""}","{""ImportId"":""QID2118_22""}","{""ImportId"":""QID1990""}","{""ImportId"":""QID1991""}","{""ImportId"":""QID1992""}","{""ImportId"":""QID2102_TEXT""}","{""ImportId"":""QID2435_TEXT""}","{""ImportId"":""QID2438_TEXT""}","{""ImportId"":""QID2441_TEXT""}","{""ImportId"":""QID232_TEXT""}","{""ImportId"":""QID2446""}","{""ImportId"":""QID2446_4_TEXT""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID1989""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""abortion_pro_1_clicked""}","{""ImportId"":""vaccine_pro_1_clicked""}","{""ImportId"":""unihealthcare_pro_1_clicked""}","{""ImportId"":""gun_pro_1_clicked""}","{""ImportId"":""abortion_pro_2_clicked""}","{""ImportId"":""abortion_pro_3_clicked""}","{""ImportId"":""abortion_pro_4_clicked""}","{""ImportId"":""abortion_pro_5_clicked""}","{""ImportId"":""abortion_con_2_clicked""}","{""ImportId"":""abortion_con_1_clicked""}","{""ImportId"":""abortion_con_3_clicked""}","{""ImportId"":""abortion_con_4_clicked""}","{""ImportId"":""abortion_con_5_clicked""}","{""ImportId"":""vaccine_pro_2_clicked""}","{""ImportId"":""vaccine_pro_3_clicked""}","{""ImportId"":""vaccine_pro_4_clicked""}","{""ImportId"":""vaccine_pro_5_clicked""}","{""ImportId"":""vaccine_con_2_clicked""}","{""ImportId"":""vaccine_con_3_clicked""}","{""ImportId"":""vaccine_con_4_clicked""}","{""ImportId"":""vaccine_con_5_clicked""}","{""ImportId"":""unihealthcare_pro_5_clicked""}","{""ImportId"":""unihealthcare_pro_2_clicked""}","{""ImportId"":""unihealthcare_pro_3_clicked""}","{""ImportId"":""unihealthcare_pro_4_clicked""}","{""ImportId"":""unihealthcare_con_2_clicked""}","{""ImportId"":""unihealthcare_con_3_clicked""}","{""ImportId"":""unihealthcare_con_4_clicked""}","{""ImportId"":""unihealthcare_con_5_clicked""}","{""ImportId"":""gun_pro_2_clicked""}","{""ImportId"":""gun_pro_3_clicked""}","{""ImportId"":""gun_pro_4_clicked""}","{""ImportId"":""gun_pro_5_clicked""}","{""ImportId"":""gun_con_2_clicked""}","{""ImportId"":""gun_con_3_clicked""}","{""ImportId"":""gun_con_4_clicked""}","{""ImportId"":""gun_con_5_clicked""}","{""ImportId"":""vaccine_con_1_clicked""}","{""ImportId"":""unihealthcare_con_1_clicked""}","{""ImportId"":""gun_con_1_clicked""}","{""ImportId"":""study_condition""}"
2025-08-13 15:08:25,2025-08-13 15:08:33,0,24.177.0.98,100,8,1,2025-08-13 15:08:34,R_3pJxJVBnMVMHnAf,,,,,41.4765,-73.2272,anonymous,EN,0.8999999761581421,5ff591cba89e1b000bfb9852,2,Chrome iPhone,139.0.7258.76,iPhone,393x852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff591cba89e1b000bfb9852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 15:06:05,2025-08-13 15:13:30,0,99.131.48.114,100,445,1,2025-08-13 15:13:31,R_3j9OMAB6HMDBpFT,,,,,35.7622,-78.6016,anonymous,EN,1,5e9f3f09ccc75a0c345e4845,1,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,1,1,6,6,6,6,6,2,5,5,3,4,3,1,5,5,5,5,5,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes because everybody having a gun makes the country a more dangerous place.,,,,,,,,,11.24,152.326,180.074,10,5,5,5,,,,,,,"The vast majority of gun deaths are not the result of heroic self-defense, but rather stem from everyday arguments and preventable altercations.

According to FBI analysis, 59.9 percent of gun deaths—1,962 lives lost—arose from arguments, including romantic disputes, fights fueled by alcohol or drugs, and money-related conflicts.  Far from providing protection, studies show that keeping firearms at home increases the risk of homicide by a family member or intimate acquaintance.

Contrary to the myth of widespread armed self-defense, statistics from 2007 to 2011 reveal that guns were used for protection in less than 1 percent of violent and property crimes. 

Common sense gun control—such as bans on assault weapons and high-capacity magazines—can save lives. Notably, even President Ronald Reagan and the NRA once supported restricting civilian ownership of military-style rifles like the AR-15. When high-capacity magazines were used in mass shootings, fatality and injury rates soared.

The Second Amendment was drafted in an era of slow, single-shot weapons, not today’s concealable, rapid-fire arms. ",66,2,,5,1,1,5e9f3f09ccc75a0c345e4845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,firearm_control
2025-08-13 15:06:51,2025-08-13 15:13:37,0,73.184.99.175,100,405,1,2025-08-13 15:13:37,R_3ZAMArqxhe49otP,,,,,33.9794,-84.3459,anonymous,EN,1,62da941cdd9d95738a12793e,1,Chrome,139.0.0.0,Windows NT 10.0,1366x768,1,2,1,1,1,6,6,2,1,1,1,6,6,2,1,1,6,6,4,2,1,1,4,6,6,,,,,,,,,,,,,,,,,,,Vaccines should not be mandated.,,,,,,,,,4.101,70.287,180.016,38,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am highly against the mandating of vaccines for anyone. Although some vaccines may be beneficial, some of them may come with extreme side effects and health risks. Requiring people to get vaccines violates their ability to make decisions about their own body. I have personally known people who have had negative effects from vaccines that they have taken, and I have also seen the shaming of people on both sides for their choice of whether or not to be vaccinated.",,,36,2,,2,1,7,62da941cdd9d95738a12793e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,vaccine_control
2025-08-13 15:06:19,2025-08-13 15:13:43,0,96.245.155.178,100,444,1,2025-08-13 15:13:43,R_7yO4wzSOr4WnYXL,,,,,39.9206,-75.1826,anonymous,EN,1,665cbb56d9ecb20564b9b607,1,Chrome,138.0.0.0,Windows NT 10.0,1536x864,1,1,6,6,6,6,6,1,6,6,6,6,4,1,6,6,6,6,6,1,6,6,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes absolutely.  We are the one of the richest countries in the world yet we have people living without healthcare.  that is unacceptable.,,,,,,,,,4.941,162.343,180.018,29,6,6,6,,,,,,,,,,,,,,,,,,,,,,"yes - it is unacceptable that in a country so rich in wealth and resources that so many live without access to good healthcare.  those with less get less and that is inhumane.  why should only those with access to unlimited cash get the care they need and deserve, while others are locked into no care or care they go into extreme debt for (if they can even access it). ",,48,2,,3,1,1,665cbb56d9ecb20564b9b607,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,uh_control
2025-08-13 15:06:03,2025-08-13 15:14:13,0,69.118.88.151,100,489,1,2025-08-13 15:14:14,R_1mCjpnjCojJgy8F,,,,,40.4512,-76.9665,anonymous,EN,0.8999999761581421,661433352944c111887337c4,1,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,1,1,6,6,6,6,6,2,5,5,2,6,6,2,3,3,3,4,4,2,1,2,4,6,6,"I think abortion should be legal but should require women to use their own health insurance or pay out of pocket. I am tired of paying for a womens 5th abortion with my taxes. ",,,,,,,,,17.085,157.826,180.108,8,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abortion should be legal in the United States because it is basic healthcare for women. Making it illegal is a threat to women's' healthcare and rights. Some women need to have an abortion to terminate their pregnancy or else they can face some serious health consequences. ",,,,34,2,,3,1,7,661433352944c111887337c4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abortion_control
2025-08-13 15:06:26,2025-08-13 15:14:16,0,45.23.230.69,100,469,1,2025-08-13 15:14:17,R_6CPXD3dYXiwtKWp,,,,,35.9335,-84.1481,anonymous,EN,0.6000000238418579,63ec520278bcbfb9522a7c84,1,Firefox,141.0,Windows NT 10.0,1920x1080,1,1,4,5,5,5,3,1,6,6,5,5,5,1,5,6,6,5,4,1,1,1,6,5,3,"Yes. The same government that will tell you that you can't get the abortion, is the same government to tell you that you have to get an abortion.",,,,,,,,,19.781,86.344,180.009,6,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I think that abortion should either be legal or illegal. There should not be so much nuance surrounding a topic where the result is an absolute. I do not agree with every reason that people get one, but I do not agree with denying other peoples lives. If getting an abortion prevents a child from living a life in which they can not be properly supported then so be it.",,,,24,1,,5,1,2,63ec520278bcbfb9522a7c84,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abortion_control
2025-08-13 15:14:25,2025-08-13 15:14:35,0,216.134.241.130,100,9,1,2025-08-13 15:14:35,R_1CdvKfFSGROKqgW,,,,,35.8684,-92.1176,anonymous,EN,1,5b98940f754b700001f0f15c,3,Chrome,139.0.0.0,Android 10,412x915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b98940f754b700001f0f15c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13 15:06:49,2025-08-13 15:14:49,0,73.7.194.104,100,479,1,2025-08-13 15:14:49,R_5hLonCD6jDhinYg,,,,,34.024,-84.2396,anonymous,EN,1,678340c9ba7d324b063cec2f,1,Opera,120.0.0.0,Windows NT 10.0,2560x1440,1,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,1,3,4,6,5,5,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,The United States should definitely implement a universal healthcare system.,,,,,3.281,87.781,181.822,53,,,,,6,6,6,,,,,,,,,,,,,,,,,2,2,2,,,"The United States should implement a universal healthcare system while allowing a private sector of healthcare to exist. This would allow the best of both worlds, free healthcare for those that really need it, and more expensive healthcare for those who can afford it. Basic healthcare should be free, especially for a country that boast being number one in the world.",,18,1,,3,4,3,678340c9ba7d324b063cec2f,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,uh_anti
