"study_duration","finished","consent","abortion_att_binary","abortion_att_pre_1","abortion_att_pre_2","abortion_att_pre_3","abortion_certain","abortion_imp","vaccine_att_binary","vaccine_att_pre_1","vaccine_att_pre_2","vaccine_att_pre_3","vaccine_certain","vaccine_imp","uh_att_binary","uh_att_pre_1","uh_att_pre_2","uh_att_pre_3","uh_certain","uh_imp","firearm_att_binary","firearm_att_pre_1","firearm_att_pre_2","firearm_att_pre_3","firearm_certain","firearm_imp","abortion_init_resp","abortion_att_post_1","abortion_att_post_2","abortion_att_post_3","perc_ai_strength","perc_ai_bias","vaccine_init_resp","vaccine_att_post_1","vaccine_att_post_2","vaccine_att_post_3","uh_init_resp","uh_att_post_1","uh_att_post_2","uh_att_post_3","firearm_init_resp","firearm_att_post_1","firearm_att_post_2","firearm_att_post_3","perc_useful","perc_satisfaction","ai_disable","abortion_final_resp","vaccine_final_resp","uh_final_resp","firearm_final_resp","age","gender","education","race","partisanship","abortion_pro_1_clicked","vaccine_pro_1_clicked","unihealthcare_pro_1_clicked","gun_pro_1_clicked","abortion_pro_2_clicked","abortion_pro_3_clicked","abortion_pro_4_clicked","abortion_pro_5_clicked","abortion_con_2_clicked","abortion_con_1_clicked","abortion_con_3_clicked","abortion_con_4_clicked","abortion_con_5_clicked","vaccine_pro_2_clicked","vaccine_pro_3_clicked","vaccine_pro_4_clicked","vaccine_pro_5_clicked","vaccine_con_2_clicked","vaccine_con_3_clicked","vaccine_con_4_clicked","vaccine_con_5_clicked","unihealthcare_pro_5_clicked","unihealthcare_pro_2_clicked","unihealthcare_pro_3_clicked","unihealthcare_pro_4_clicked","unihealthcare_con_2_clicked","unihealthcare_con_3_clicked","unihealthcare_con_4_clicked","unihealthcare_con_5_clicked","gun_pro_2_clicked","gun_pro_3_clicked","gun_pro_4_clicked","gun_pro_5_clicked","gun_con_2_clicked","gun_con_3_clicked","gun_con_4_clicked","gun_con_5_clicked","vaccine_con_1_clicked","unihealthcare_con_1_clicked","gun_con_1_clicked","abortion_pro_First.Click","abortion_pro_Last.Click","abortion_anti_First.Click","abortion_anti_Last.Click","abortion_control_First.Click","abortion_control_Last.Click","vaccine_pro_First.Click","vaccine_pro_Last.Click","vaccine_con_First.Click","vaccine_con_Last.Click","vaccine_control_First.Click","vaccine_control_Last.Click","uh_pro_First.Click","uh_pro_Last.Click","uh_con_First.Click","uh_con_Last.Click","uh_control_First.Click","uh_control_Last.Click","firearm_pro_First.Click","firearm_pro_Last.Click","firearm_con_First.Click","firearm_con_Last.Click","firearm_control_First.Click","firearm_control_Last.Click","study_condition","abortion_att_pre","vaccine_att_pre","uh_att_pre","firearm_att_pre","abortion_att_post","vaccine_att_post","uh_att_post","firearm_att_post","treatment_condition","topic","abortion_pro_clicks","abortion_con_clicks","vaccine_pro_clicks","vaccine_con_clicks","uh_pro_clicks","uh_con_clicks","firearm_pro_clicks","firearm_con_clicks","total_clicks","ac_links","aic_links","attitude_strength","partisanship_strength","attitude_polarization","attitude_post","first_click","last_click"
445,1,1,1,6,6,6,6,6,2,5,5,3,4,3,1,5,5,5,5,5,1,5,5,5,5,5,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"Yes because everybody having a gun makes the country a more dangerous place.",5,5,5,NA,NA,NA,"","","","The vast majority of gun deaths are not the result of heroic self-defense, but rather stem from everyday arguments and preventable altercations.

According to FBI analysis, 59.9 percent of gun deaths—1,962 lives lost—arose from arguments, including romantic disputes, fights fueled by alcohol or drugs, and money-related conflicts.  Far from providing protection, studies show that keeping firearms at home increases the risk of homicide by a family member or intimate acquaintance.

Contrary to the myth of widespread armed self-defense, statistics from 2007 to 2011 reveal that guns were used for protection in less than 1 percent of violent and property crimes. 

Common sense gun control—such as bans on assault weapons and high-capacity magazines—can save lives. Notably, even President Ronald Reagan and the NRA once supported restricting civilian ownership of military-style rifles like the AR-15. When high-capacity magazines were used in mass shootings, fatality and injury rates soared.

The Second Amendment was drafted in an era of slow, single-shot weapons, not today’s concealable, rapid-fire arms. ",66,2,5,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.24,152.326,"firearm_control",6,4.33333333333333,5,5,NA,NA,NA,5,"Control","Firearm Regulations",0,0,0,0,0,0,1,0,1,1,0,5,3,0,5,11.24,152.326
405,1,1,2,1,1,1,6,6,2,1,1,1,6,6,2,1,1,6,6,4,2,1,1,4,6,6,"",NA,NA,NA,NA,NA,"Vaccines should not be mandated.",1,1,1,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","I am highly against the mandating of vaccines for anyone. Although some vaccines may be beneficial, some of them may come with extreme side effects and health risks. Requiring people to get vaccines violates their ability to make decisions about their own body. I have personally known people who have had negative effects from vaccines that they have taken, and I have also seen the shaming of people on both sides for their choice of whether or not to be vaccinated.","","",36,2,2,"1",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.101,70.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vaccine_control",1,1,2.66666666666667,2,NA,1,NA,NA,"Control","Vaccine Mandates",0,0,0,3,0,0,0,0,3,3,0,6,3,0,6,4.101,70.287
444,1,1,1,6,6,6,6,6,1,6,6,6,6,4,1,6,6,6,6,6,1,6,6,6,6,5,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"Yes absolutely.  We are the one of the richest countries in the world yet we have people living without healthcare.  that is unacceptable.",6,6,6,"",NA,NA,NA,NA,NA,NA,"","","yes - it is unacceptable that in a country so rich in wealth and resources that so many live without access to good healthcare.  those with less get less and that is inhumane.  why should only those with access to unlimited cash get the care they need and deserve, while others are locked into no care or care they go into extreme debt for (if they can even access it). ","",48,2,3,"1",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.941,162.343,NA,NA,NA,NA,NA,NA,"uh_control",6,6,6,6,NA,NA,6,NA,"Control","Universal Healthcare",0,0,0,0,8,5,0,0,13,8,5,6,3,0,6,4.941,162.343
489,1,1,1,6,6,6,6,6,2,5,5,2,6,6,2,3,3,3,4,4,2,1,2,4,6,6,"I think abortion should be legal but should require women to use their own health insurance or pay out of pocket. I am tired of paying for a womens 5th abortion with my taxes. ",6,6,6,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Abortion should be legal in the United States because it is basic healthcare for women. Making it illegal is a threat to women's' healthcare and rights. Some women need to have an abortion to terminate their pregnancy or else they can face some serious health consequences. ","","","",34,2,3,"1",7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17.085,157.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abortion_control",6,4,3,2.33333333333333,6,NA,NA,NA,"Control","Abortion",3,0,0,0,0,0,0,0,3,3,0,6,3,0,6,17.085,157.826
469,1,1,1,4,5,5,5,3,1,6,6,5,5,5,1,5,6,6,5,4,1,1,1,6,5,3,"Yes. The same government that will tell you that you can't get the abortion, is the same government to tell you that you have to get an abortion.",4,5,5,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"I think that abortion should either be legal or illegal. There should not be so much nuance surrounding a topic where the result is an absolute. I do not agree with every reason that people get one, but I do not agree with denying other peoples lives. If getting an abortion prevents a child from living a life in which they can not be properly supported then so be it.","","","",24,1,5,"1",2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,19.781,86.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abortion_control",4.66666666666667,5.66666666666667,5.66666666666667,2.66666666666667,4.66666666666667,NA,NA,NA,"Control","Abortion",1,1,0,0,0,0,0,0,2,1,1,4,2,0,4.66666666666667,19.781,86.344
479,1,1,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,1,3,4,6,5,5,"",NA,NA,NA,4,4,"",NA,NA,NA,"The United States should definitely implement a universal healthcare system.",6,6,6,"",NA,NA,NA,2,2,2,"","","The United States should implement a universal healthcare system while allowing a private sector of healthcare to exist. This would allow the best of both worlds, free healthcare for those that really need it, and more expensive healthcare for those who can afford it. Basic healthcare should be free, especially for a country that boast being number one in the world.","",18,1,3,"4",3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.281,87.781,NA,NA,NA,NA,NA,NA,NA,NA,"uh_anti",6,6,6,4.33333333333333,NA,NA,6,NA,"AIC_AI_Summary","Universal Healthcare",0,0,0,0,6,5,0,0,11,6,5,6,1,0,6,3.281,87.781
432,1,1,2,1,1,1,6,6,2,4,4,3,2,3,2,4,4,3,2,2,1,1,3,4,3,3,"I believe abortion should be illegal as it is the killing of a person. When a pregnant person is murdered it's called double homicide, so the baby is a living being so therefore abortion is murdering someone. ",1,1,1,3,4,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,4,4,2,"I feel abortion is murder. I think that the fetus is a human being and it is a living being. Therefore an abortion is killing the baby. There are other options like adoption that are better options for those who don't want a baby. The argument is always it's my body, my choice, but the baby has a body so what about their choice? They don't get a choice, and imagine all the wonderful people that have been aborted for no reason. ","","","",30,2,2,"1",5,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.524,162.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abortion_pro",1,3.66666666666667,3.66666666666667,2.66666666666667,1,NA,NA,NA,"AIC_AI_Summary","Abortion",2,2,0,0,0,0,0,0,4,2,2,6,1,0,6,25.524,162.448
512,1,1,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,1,2,1,6,5,6,"",NA,NA,NA,4,5,"",NA,NA,NA,"",NA,NA,NA,"I believe the US should have stricter gun regulations because there are far too many gun deaths in the US that could have been prevented if it wasn't so easy to get a firearm.",1,1,6,6,5,2,"","","","The amount of school shootings alone should show us that America needs an overhaul on regulations and gun safety classes that are mandatory for all people in the household. We should take it more seriously, and make sure everyone has to buy a gun safe and locks when they buy the gun too. Everyone should be educated on the harms and value of owning a gun.",33,2,4,"1",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,160.271,NA,NA,"firearm_anti",6,6,6,3,NA,NA,NA,2.66666666666667,"AIC_AI_Summary","Firearm Regulations",0,0,0,0,0,0,6,9,15,6,9,5.5,3,-0.333333333333333,2.66666666666667,93.8,160.271
470,1,1,1,6,6,6,6,6,1,6,5,5,5,5,1,5,5,5,4,4,2,6,5,5,5,4,"I do think they should be legal, it is a basic right to have the choice to choose if you want to have kids or not and if it is not legal, people will find other ways to do it",6,6,6,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"Abortion should be a legal right, we are at the age where women do not need to be forced to have children, women are more than just mothers. We are more than just wives, there is no guarentee when it comes to children, let alone affording them or being good parents. You do not need to have a baby simply because your partner wants one, you do not need to have a baby because of an accidental pregnancy, babies are not something that are a need.","","","",29,2,5,"1",2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,9.429,83.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abortion_control",6,5.33333333333333,5,5.33333333333333,6,NA,NA,NA,"Control","Abortion",1,1,0,0,0,0,0,0,2,1,1,6,2,0,6,9.429,83.337
454,1,1,1,6,6,6,6,6,1,6,6,6,6,6,1,2,6,6,6,6,1,6,6,6,6,6,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"I believe the US should have universal healthcare because it should be a basic human right to healthcare regardless of your income.",3,6,6,"",NA,NA,NA,NA,NA,NA,"","","Healthcare should be free for all. It would save billions in healthcare costs for Americans, nearly half a trillion at last estimate. It's a basic human want to be healthy and I do not think that keeping it hidden behind a paywall is the right thing to do.","",41,1,2,"1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,106.507,NA,NA,NA,NA,NA,NA,"uh_control",6,6,4.66666666666667,6,NA,NA,5,NA,"Control","Universal Healthcare",0,0,0,0,3,0,0,0,3,3,0,6,3,0.333333333333333,5,8.85,106.507
